State,Week,Weekly_Diagnoses,Weekly_Inpatient_Hospitalizations,Weekly_ED_Visits,Weekly_Outpatient,Weekly_Tests,Weekly_Positive_Tests,Weekly_Vaccine_Count,Cumulative_Vaccines,Weekly_Encounters
SC,2016-10-08,13,1,7,5,321,9,15812,15812,13
SC,2016-10-15,4,1,0,3,324,2,18125,33937,4
SC,2016-10-22,5,0,3,2,375,1,16343,50280,5
SC,2016-10-29,12,0,6,6,415,2,13722,64002,12
SC,2016-11-05,14,1,7,6,472,9,13152,77154,14
SC,2016-11-12,18,0,13,5,516,10,10412,87566,19
SC,2016-11-19,17,2,10,10,575,15,8907,96473,22
SC,2016-11-26,19,3,12,4,557,14,4810,101283,19
SC,2016-12-03,38,0,27,11,729,21,6468,107751,38
SC,2016-12-10,58,3,33,22,787,46,5171,112922,59
SC,2016-12-17,110,3,52,60,1086,96,4244,117166,115
SC,2016-12-24,226,12,129,93,1340,193,3316,120482,232
SC,2016-12-31,276,15,207,66,1638,226,2380,122862,292
SC,2017-01-07,260,17,129,118,1508,210,3441,126303,264
SC,2017-01-14,433,13,212,227,1915,392,2963,129266,451
SC,2017-01-21,527,17,268,249,2174,440,2570,131836,542
SC,2017-01-28,523,19,214,319,2379,453,2420,134256,546
SC,2017-02-04,957,25,418,563,3572,841,2138,136394,1005
SC,2017-02-11,1269,37,596,663,4526,1051,1954,138348,1316
SC,2017-02-18,1325,34,583,754,4739,1101,1834,140182,1369
SC,2017-02-25,1366,40,635,721,4739,1164,1454,141636,1409
SC,2017-03-04,888,13,404,484,3438,747,1256,142892,916
SC,2017-03-11,779,27,347,433,3088,665,991,143883,807
SC,2017-03-18,840,23,388,460,3299,716,834,144717,877
SC,2017-03-25,1150,31,485,672,3959,1002,645,145362,1199
SC,2017-04-01,990,27,448,535,3498,849,587,145949,1034
SC,2017-04-08,402,9,184,217,1889,330,282,146231,417
SC,2017-04-15,194,8,99,92,1161,162,182,146413,211
SC,2017-04-22,115,8,60,50,855,91,114,146527,122
SC,2017-04-29,53,1,31,22,607,33,89,146616,53
SC,2017-05-06,35,1,16,18,394,21,60,146676,35
SC,2017-05-13,20,2,10,9,354,18,65,146741,22
SC,2017-05-20,15,2,8,5,251,7,42,146783,16
SC,2017-05-27,12,1,7,5,209,8,50,146833,13
SC,2017-06-03,4,1,3,2,159,3,38,146871,5
SC,2017-06-10,9,2,5,2,138,5,27,146898,9
SC,2017-06-17,5,1,1,2,118,2,28,146926,5
SC,2017-06-24,4,1,1,2,72,3,24,146950,4
SC,2017-07-01,4,0,4,1,91,3,40,146990,5
SC,2017-07-08,3,2,1,0,69,2,9,146999,3
SC,2017-07-15,3,0,3,0,90,2,14,147013,3
SC,2017-07-22,4,0,0,4,71,2,25,147038,4
SC,2017-07-29,0,0,0,0,64,0,21,147059,0
SC,2017-08-05,4,1,2,2,63,2,415,147474,5
SC,2017-08-12,3,0,2,1,71,3,724,148198,3
SC,2017-08-19,3,1,1,1,53,1,1367,149565,3
SC,2017-08-26,2,0,1,1,65,1,1454,151019,2
SC,2017-09-02,9,0,7,2,126,3,4493,155512,9
SC,2017-09-09,8,1,6,2,210,4,4452,159964,8
SC,2017-09-16,17,1,11,5,312,14,7973,167937,18
SC,2017-09-23,11,1,5,5,349,6,12485,180422,11
SC,2017-09-30,11,1,8,4,399,5,17943,198365,13
SC,2017-10-07,15,2,9,4,454,9,30465,228830,15
SC,2017-10-14,24,5,14,6,515,16,27476,256306,26
SC,2017-10-21,18,2,8,7,553,9,26491,282797,18
SC,2017-10-28,24,2,12,11,611,9,20093,302890,25
SC,2017-11-04,45,3,23,20,693,25,18009,320899,45
SC,2017-11-11,37,2,25,10,750,20,13554,334453,38
SC,2017-11-18,38,2,23,15,921,20,11896,346349,40
