reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.01,0.0037585017
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.025,0.010255646
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.05,0.014728571
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.1,0.017400518
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.15,0.018671028
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.2,0.024347007
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.25,0.02655724
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.3,0.02798443
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.35,0.029467078
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.4,0.03183408
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.45,0.03356154
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.5,0.033779167
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.55,0.0344765
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.6,0.034735356
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.65,0.034873277
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.7,0.036121357
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.75,0.03823896
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.8,0.038563035
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.85,0.03893964
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.9,0.061941728
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.95,0.09745668
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.975,0.10417784
2022-12-03,wk inc flu prop ed visits,1,2022-12-10,South Carolina,quantile,0.99,0.116887294
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.01,0.005969234
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.025,0.007306924
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.05,0.009927903
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.1,0.011782685
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.15,0.017530259
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.2,0.018643104
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.25,0.021368777
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.3,0.022025092
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.35,0.02366023
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.4,0.023829835
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.45,0.026322829
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.5,0.02985414
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.55,0.030242208
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.6,0.031719603
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.65,0.03394678
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.7,0.03499092
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.75,0.035121053
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.8,0.03589176
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.85,0.04135552
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.9,0.04529093
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.95,0.096926786
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.975,0.11936795
2022-12-03,wk inc flu prop ed visits,2,2022-12-17,South Carolina,quantile,0.99,0.1356742
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.01,0.0
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.025,0.003669523
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.05,0.0040154015
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.1,0.012070578
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.15,0.012791864
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.2,0.014650227
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.25,0.018603763
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.3,0.02078052
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.35,0.021974722
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.4,0.022502817
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.45,0.022543654
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.5,0.025816105
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.55,0.0259913
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.6,0.026990991
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.65,0.027117925
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.7,0.027652746
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.75,0.028230408
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.8,0.031957854
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.85,0.034489118
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.9,0.042462986
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.95,0.08955917
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.975,0.103664204
2022-12-03,wk inc flu prop ed visits,3,2022-12-24,South Carolina,quantile,0.99,0.12809241
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.01,0.0
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.025,0.00018014706
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.05,0.003111741
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.1,0.008273871
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.15,0.009523288
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.2,0.009877999
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.25,0.015608811
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.3,0.016709527
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.35,0.01721593
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.4,0.017475156
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.45,0.018064352
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.5,0.019793611
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.55,0.019865356
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.6,0.02079905
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.65,0.021322217
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.7,0.02165036
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.75,0.022389423
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.8,0.025533773
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.85,0.03488616
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.9,0.048280824
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.95,0.08357773
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.975,0.10508698
2022-12-03,wk inc flu prop ed visits,4,2022-12-31,South Carolina,quantile,0.99,0.12354659
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.01,0.0022028624
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.025,0.007602798
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.05,0.012655787
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.1,0.015021651
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.15,0.015996678
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.2,0.021210615
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.25,0.021643417
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.3,0.0228045
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.35,0.022817746
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.4,0.026119094
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.45,0.027264459
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.5,0.02786211
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.55,0.0282611
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.6,0.028278602
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.65,0.029451491
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.7,0.03115144
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.75,0.0313568
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.8,0.033169005
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.85,0.034729097
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.9,0.05356378
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.95,0.08693245
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.975,0.09320415
2022-12-10,wk inc flu prop ed visits,1,2022-12-17,South Carolina,quantile,0.99,0.105942294
2022-12-10,wk inc flu prop ed visits,2,2022-12-24,South Carolina,quantile,0.01,0.005353111
